Subject,swirl*natural*01,swirl*natural*02,swirl*natural*03,swirl*natural*04,swirl*natural*05,swirl*natural*06,swirl*natural*07,swirl*natural*08,swirl*natural*09,swirl*unnatural*01,swirl*unnatural*02,swirl*unnatural*03,swirl*unnatural*04,swirl*unnatural*05,swirl*unnatural*06,swirl*unnatural*07,swirl*unnatural*08,swirl*unnatural*09,blur*natural*01,blur*natural*02,blur*natural*03,blur*natural*04,blur*natural*05,blur*natural*06,blur*natural*07,blur*natural*08,blur*natural*09,blur*unnatural*01,blur*unnatural*02,blur*unnatural*03,blur*unnatural*04,blur*unnatural*05,blur*unnatural*06,blur*unnatural*07,blur*unnatural*08,blur*unnatural*09,noise*natural*01,noise*natural*02,noise*natural*03,noise*natural*04,noise*natural*05,noise*natural*06,noise*natural*07,noise*natural*08,noise*natural*09,noise*unnatural*01,noise*unnatural*02,noise*unnatural*03,noise*unnatural*04,noise*unnatural*05,noise*unnatural*06,noise*unnatural*07,noise*unnatural*08,noise*unnatural*09
Subject-01,0.8869006812916472,1.0933246714345033,1.278369305510498,1.061463954420019,1.0007291555857698,0.959128817059066,0.9324433070872317,0.9475956620098808,1.1776289315850967,1.0921264653373477,1.035965863141786,1.038085537826697,1.0858072711703055,1.2454182826379887,1.1649190416221162,1.2486920669977157,1.147191994155949,1.122864025426086,1.1429957584287498,1.000627581003906,0.9344940601091891,0.977552832529196,1.3511508903987395,1.1264060075097544,1.7200851166242614,0.9943495595758831,1.3191580861820937,0.8680714431677379,1.356007359291393,1.093743242499254,1.081342957901601,1.5507521673307998,1.1237233900819006,1.373360360462301,0.9846397183787243,1.0905161064069824,1.113843718275085,0.971439353179807,0.9172377879431223,1.0321993566662264,0.836632966108293,0.9342991331518248,1.210699574268981,1.370994023703199,0.9230849563179218,1.297788370110736,1.1255616935938324,1.305219709493496,1.1934210058936026,1.0189872134698275,1.2151544416631483,1.1299087398169079,1.5095491255803728,0.938310111842544
Subject-02,1.145361203649778,1.0978518442914855,1.209102168994978,1.2162420461816503,1.1069569195573035,0.7390452738772069,1.277123851275877,0.8298515459707223,1.0989490113456999,1.2631087528500744,1.2021912459776194,1.1946591461628207,1.0116937752044384,1.1827745653204125,1.0975564353322655,0.9959944311653799,1.086886510470007,1.4643558291515444,0.9783250943893873,1.270942682174263,0.9686296641764393,1.1138686141337857,1.3121434846098514,1.1512275478815195,1.697766011796847,1.0395664872306731,1.2490883812297562,1.0093740816716028,1.4110304266369296,1.0660878075744586,1.2942671076957333,1.3056420603884205,1.109384408863971,1.0722973836727683,0.9199085846486702,1.719179821471252,1.287426603012814,0.9437186653087418,0.8876560906053796,1.0837734802452044,0.9142266380009227,0.8682161241403846,0.9994551982750256,1.3869367053899875,0.914268042530953,1.3979266804058117,1.1573458834021746,1.2987573451799583,1.1868092145517268,0.9361151004093083,1.3374086116698243,1.0663307005733191,1.3515708018844566,0.8501973573312052
Subject-03,1.1174673323687583,0.8389871137948168,1.1539124418681106,1.0028928835592223,0.8212243138950278,0.7390452738772069,0.8066303965931477,0.7460650138305525,1.0225671384034067,0.9345032687593336,1.130230996667825,1.1148219797399828,0.9622802359099576,1.2221897701347424,1.0208821383075595,0.8342729372912856,0.9313094140980847,0.9632018934087537,0.7464274305499244,0.7747883154484582,1.0705210989784866,0.7792476653840239,0.8928342718750099,0.9700983134632333,0.8196877463290952,0.7624090779769297,0.8974955010652215,0.8303375378347552,1.1581032719369269,0.7794572547291566,0.8783444804463255,1.2498150418948486,1.069612929932048,1.2543071413722295,0.7228193019559191,1.2287338177184621,1.0069926181802842,0.7550240673000052,0.7100690703987598,0.7374286328752858,0.8095492354058175,0.8626801185226978,0.7919112065500422,1.0397682898700464,0.7041647878039383,1.1544711146301792,0.849262990490459,1.0485155128557127,0.9067014733481746,0.6960891804920349,1.0506730197184224,0.8725534742578144,1.3103300458379916,0.7461471255327465
Subject-04,1.0940810156781033,0.9349093180203524,1.1871725743884212,1.0337935415410762,0.9389957282379208,0.7390452738772069,1.047389902278447,0.8066434653477131,1.0156332515362891,1.161468304027473,1.1549551331552022,1.0568127237142726,0.953281706104648,1.2750401016353183,1.058158506523993,1.098207657234629,1.1154713754610122,1.0783610951060327,0.8781403726455838,0.733971884337377,0.9431294105407175,0.9765758310231349,1.0017472572811128,1.0118114383967305,1.296640499021435,0.9430415429813046,1.0880230028501099,0.8574902260412415,0.9570134314412833,0.9960185812111598,1.0761090303190302,1.1646092002398398,0.8669959312945248,1.1748072228133226,0.8998349513302896,1.0830180024404767,1.073856798816777,0.8354420416306958,0.7534597815114304,1.0011272399041549,0.7499901825649692,1.1001733879264497,0.9641531797528478,1.370649933003072,0.7149464893579953,1.2851178352262091,1.1492457203118935,1.2032926527542767,1.1231855217687474,0.9052030887087715,1.2482870721771953,1.1895766043594633,1.339343603750915,0.8525195250064098
Subject-05,0.9515395023257025,0.794030031342267,1.2234877057044662,0.9325368375873896,0.7617693499633508,0.7390452738772069,0.7531527351778795,0.7537574988267739,0.759895050248201,0.9770159905991755,0.9907175654385549,0.891996320322456,0.8364261264987095,0.9783489655393661,0.9195225916472072,0.9444425848707304,0.8956047812026516,0.7705593637820244,0.8105899828763995,0.8582886336228119,0.764370693899343,0.8288567083002203,0.7966026997440404,0.7715992053486066,0.7340897327356154,0.7300987729527941,0.9447216525234208,0.7051911765181541,0.8931611372913092,0.758257555318917,0.8497995379472244,1.0321161722536365,0.7311184200304934,0.8689346173260337,0.7568244249756287,0.9380673679201323,0.9917212374990064,0.7845979257665331,0.7378107029394207,0.7855016342634755,0.7102099753246828,0.8604337343815434,0.797081576325322,1.1114235203759626,0.8201144362451558,1.0495344061227079,0.987478695103391,1.1276716441386112,0.9458232569230698,0.8067778418713049,0.863996314089969,0.9375553397861137,1.3862201795421702,0.7525648917459944
Subject-06,0.9234472758792337,0.8667308513655121,1.1679618671340755,0.979198934257177,0.8059503004727876,1.1570547512675584,0.9071123053713535,0.7816573298858722,1.09509500178531,1.128437893632829,1.118003745864605,1.095511009164655,1.2356422805125042,1.1793154142856221,0.942051809820838,1.1423940656485976,1.062992284638673,0.8847296009660132,1.0983450189488473,1.0455141783518995,0.9952551703692896,1.0684921282610345,1.2056548718269882,0.8708595797469608,0.9209464782206229,0.7931596986955625,1.0237154118219631,0.8898222219209465,1.1464554792375758,0.967397907199919,1.02030879530534,1.7358574630507089,0.9860301530660955,1.2627452994364865,0.9353471618528068,1.1628613734301991,1.049123704534137,0.8076818851179494,0.8420917899506574,0.9460071301310097,0.7675136614584303,0.932879086600657,0.9246008038841405,1.3115070393216857,1.0443357239511222,1.3383269243331148,1.1083626534657114,1.1262705028660038,1.1020346248584374,0.8381009413521151,1.1327455762104648,0.9530332831930662,1.346609468943796,0.8164665700861006
Subject-07,0.7860021456428387,0.8508254217686936,0.7468409980850427,0.9813858324349756,0.7461103359074863,0.7390452738772069,0.7556114297603661,0.7531074153950879,0.931750877259593,1.0742555182270341,0.8313802544707151,0.9640109456872413,0.8321191855762227,0.8550676844288663,0.9873019089738133,0.9883704861586384,0.9181144676247821,0.7613367561182505,0.7473682659314369,0.7363831135621964,0.8515969993863306,0.8565634339368325,0.785913188077495,0.7429742553617749,0.730452490716333,0.746039870440837,0.7051911765181541,0.7307896526427714,0.8494235666716644,0.7333682856389241,0.7406701209892618,0.8220673716579034,0.8568296396364705,0.9324428739032803,0.7740573597052346,0.7665482233215545,0.8946176644337499,0.7149525430087423,0.6792533808412117,0.7637372878319463,0.67280096723875,0.7225737559897617,0.7484794726158787,1.0190518385218321,0.6798979218811121,1.0717416518851202,0.7680174666980485,0.9075266322581627,0.86009803133213,0.6953871118598178,0.976512601918851,0.7999028865238935,1.3002366139411725,0.6973133857883239
Subject-08,0.9853683624891718,0.9096974653067638,1.0293771511297958,0.9227304287031632,0.7849238840094551,0.7390452738772069,0.8664566931077782,0.9046423956243685,0.9025372713914848,0.8642179758489811,0.97599628692985,0.859701992734227,0.9280414618574365,1.0880792827230321,0.8689742007572053,0.9485954965102052,0.9296668041435189,0.7860021456428387,0.7273867662613996,0.7535399541624455,0.7443392411716351,0.785859074184858,0.8528935943245056,0.7902534997958996,0.7118893570647681,0.7349311441416116,0.7363831135621964,0.7119542243751988,0.8141361396553254,0.7408147782673323,0.9008348894638494,0.9299487919923501,0.7443326433796476,0.8305553308330552,0.7484549276811582,0.7287273921581296,0.9439537604037048,0.7925428766418562,0.67280096723875,0.7481752025766014,0.6888588700879356,0.7536416836233352,0.8093970284426638,1.1088424765524356,0.7057676526609911,1.205401195169181,0.8268095708139772,1.065143592736057,0.9174438781826283,0.6856439065604253,0.8858353650757828,0.8850130698833888,1.3009795098963368,0.740366350651748
Subject-09,0.7919128960336954,0.9773097671396984,0.9327523911871306,1.1247925188467298,0.9617413438481226,0.746706310126487,1.0103244399890732,0.7834354377695278,1.0899596343581437,0.998686308948072,0.987035354247377,0.9673711005192277,0.940281158224084,1.20734359626419,0.9474712315051094,0.9841079541414238,1.010831080267384,0.9113528537669032,0.78232509820963,0.7466428679877591,0.7514722202227724,0.8034233123729353,0.818709648456929,0.7576256548482262,1.0592449967028748,0.7522512838405783,0.7968457483415482,0.7125312850833225,0.9939277112585039,0.7509498696365546,0.8143744049654111,1.138327312467581,0.7670183582569784,1.1493780132862426,0.7470844914112202,0.8899690664203607,0.99108355707799,0.7812762440919081,0.7837664744227487,0.912406534452736,0.6905114756677128,0.9310677312416995,0.7279864401036472,1.16532606438163,0.8252772150527463,1.3197274637058583,1.0093134277597602,1.0194117690212388,0.9924132057225046,0.7956280130962271,1.126421879260345,1.0374720190177054,1.3278003495400115,0.7356214067798224
Subject-10,1.0980899331309462,1.1459582756811844,1.335806309888287,1.072142804352863,1.1687386147145236,0.7390452738772069,1.229715145466523,0.9282927655819434,1.0951646027639068,1.195657576967382,0.9430387190020166,1.2649744761660322,1.1280904584404192,1.3035537417962308,1.007554033707296,1.0245134084296086,1.1465885095246942,0.9998664149956377,0.9423985653023906,0.9396870186446922,0.8747243654714797,1.027220381077687,0.9270336021726779,0.9629915327811471,0.8163617422319619,0.791855198862213,1.085110243806286,1.0511523022258664,1.330488245432022,0.9727022217936777,1.0731090363400189,1.1041943331946327,0.8618724768053948,1.0187546649052044,0.8568135491511222,1.0608275288908604,1.1916005842619546,0.9702108750016951,0.8365621325576574,0.9643917615053553,0.8014750741703482,0.9623943168448523,0.849300624778954,1.1634925948834194,0.9419175241210297,1.3789947547522379,1.014236655647465,1.272500784261093,1.1050481844400162,0.8329195037467573,1.1885810082517718,1.0103381759445795,1.364280239969859,0.7934213966601346
Subject-11,1.2046100697524176,1.034840019751323,1.2358856653111872,1.082493827930137,0.9617176371381726,0.8251990638220549,0.8548294981696982,0.7772103326227617,1.1767978396120857,1.2138754615817349,1.2976282720789438,1.1327175296554044,1.0384905919915803,1.1406567035236623,1.1259875962213803,1.1150371485003276,0.9713217238908861,1.296181456233343,1.317736496736087,1.0287227146980364,1.3785486727035534,1.1963726560751649,1.386386378461732,1.318125194609179,0.9234739601901816,0.9221240194480581,1.4100004223995384,0.9659607865244584,1.458841256731902,0.9249824611932956,1.2640944417950934,1.8428436598509268,0.9304223761690807,1.7126278560514128,0.8436460252583884,1.4868209490171438,1.246824802915553,0.9114985736107062,1.0109713718873339,1.0242676639264163,0.8803713548198281,1.0800395899586104,0.975321661913687,1.4093076742673847,0.8930941642311745,1.4433747382346467,1.109168815577524,1.2853506102864134,1.05412459884578,0.9312993143864049,1.3363575636140503,1.2173256304941182,1.3925039402004804,0.984309449950554
Subject-12,0.8251990638220549,0.806945309590959,1.2350489147006616,1.0541650706801624,0.9517669275850389,0.7390452738772069,0.8041288703697402,0.7679272919243384,1.0262108460306123,1.092337787734938,0.9694670760862233,1.0919945578676868,0.9775427044416427,1.2508762799300084,0.9756290794734683,1.0679481934618498,1.061023709869494,1.128703589850919,0.8293967691305768,0.8363659894018985,0.8482692098066644,0.7864398251909203,0.9394853837854791,0.8171430754237683,0.9981963193165214,0.7810015270044314,0.8624203809416395,0.7285013210734292,1.0401469098370988,0.8066763975074831,0.7983708132076338,0.8921278145694772,0.9082399427719264,1.2101197960821617,0.7719078126038489,0.9801567196218752,0.9884898494499987,0.7749600296677854,0.7370099987349835,0.9001014292541575,0.7360026854941665,0.9408531834447511,0.8215084605959062,1.248038730353736,0.7408881145340555,1.2625549777265468,0.970915542471742,1.1051169855515923,1.0577689023330565,0.8023475779927327,1.100946101918462,0.8570248676153293,1.4068809308024832,0.7713111692898399
Subject-13,1.2127167504822935,1.1985095020649414,1.2179000209191322,0.8690288018343562,0.8818171919132021,0.7475617624108969,1.0098819308462716,0.8906072290942514,1.265975689830627,1.193415427797485,1.0865653823436145,1.162815538176127,0.9552724326707305,1.2447568713770703,1.179293287999809,1.1169961276968519,1.028831211555874,1.1837123838494084,1.0355321281180758,0.9796520996313953,0.9763059288861605,1.044003033146814,1.1275687284477185,1.0196588067647252,1.249427966367379,0.8593736603075202,1.0892973414294451,0.9648786244858932,1.329450526139315,1.066601915588012,1.1210626391404641,1.5391841083230875,1.080902414312308,1.4536525220359466,0.951067841913946,1.1913751962401258,1.1923760625957107,0.969065342438106,0.7807543505442833,1.0262476598408796,0.7291544723527553,0.830103768401605,0.9917229138871326,1.3362110116867145,0.8519975803125521,1.4746616056825306,1.108513948724087,1.1801135511266425,1.0828318263506023,0.8490500682813544,1.3396547120384565,1.0332821191494495,1.3901257913630736,0.8795308694372365
Subject-14,0.7599449543045925,0.9681875437308896,1.0561457534926537,1.028737350848673,0.7973487120118896,0.7390452738772069,0.81519260238299,0.7825374216640575,0.746706310126487,1.0354258294900893,1.1919875071348605,0.8251990638220549,1.1195295114249806,0.9466153453505752,0.7856457384444563,0.9086087878566138,0.7634744680313783,0.778271541843908,0.9992331523142829,1.2177536584329474,0.9721470950640904,1.1750423167254107,1.2578666771027862,0.9819483624614258,1.1036739893733278,1.001427174971518,1.2480898420626247,0.9389641555711159,1.342555689118427,1.010731747112336,1.2700581108713822,1.5163485124617544,1.1094755267210015,1.618659065905281,1.085885868204783,1.3859529500679924,1.2043488134280327,1.1450057071980029,0.8540843286973127,0.9532259105579122,0.876350530014012,1.0455367443605301,0.8454665762822237,1.3334099635868049,0.9147623260585037,1.2913770547715486,1.0820867734979687,1.2072740596720974,1.1968850002156959,0.8109519059134941,1.3151924454198318,1.0453969706050177,1.3859332776145175,0.8476054382777445
